Ambient_Temperature_C,Age_yr,Maintenance_Count,No_of_Short_Circuits,Outages_hours_per_year,Current_A,Voltage_kV,Predicted_Hot_Spot_Temperature,Predicted_Acidity,Predicted_Moisture_Content,Predicted_Breakdown_Voltage,Predicted_Oil_Health_Score,Predicted_H2_ppm,Predicted_CH4_ppm,Predicted_C2H4_ppm,Predicted_C2H6_ppm,Predicted_C2H2_ppm,Predicted_CO_ppm,Predicted_CO2_ppm,Score_Ambient_Temp,Score_Age,Score_Maintenance,Score_ShortCircuit,Score_Hotspot,Score_Acidity,Score_Moisture,Score_BDV,Score_Oil,Score_H2,Score_CH4,Score_C2H4,Score_C2H6,Score_C2H2,Score_CO,Score_CO2,Health_Index,
23.49,29,4,2,79.85,198.48,10.2,40.19376373,0.723451316,29.73191071,37.33773804,51.9821434,119.9596939,57.77509308,21.31222725,38.59448624,46.70929337,512.1062622,3122.302734,1,3,3,2,1,4,3,3,3,2,2,1,1,3,2,2,57.33,
33.44,29,4,2,79.85,239.79,11.42,43.25723267,0.727721632,31.31271553,38.02301407,51.06721115,132.1483459,75.913414,24.25418091,41.71228409,47.82665253,552.3121948,3115.483643,2,3,3,2,1,4,4,3,3,2,2,1,1,3,2,2,51.33,
31.7,29,4,2,79.85,189.57,11.49,42.91765213,0.719604313,30.02602386,38.29827118,52.96559143,134.8696747,66.39863586,23.03833771,47.20893478,51.71570969,538.9541016,2959.540771,2,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,49.67,
18.58,29,4,2,79.85,182.38,10.63,39.68011856,0.723736823,31.22759056,37.28390503,53.13617325,118.4645157,58.79652786,19.11408424,42.30545425,52.36141968,544.2487793,3098.922852,1,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,53,
27.66,29,4,2,79.85,170.44,11.2,39.85808182,0.713694632,31.41890526,37.93523788,51.17602158,119.8853073,58.54774475,16.4373455,43.91433716,46.94127655,584.7521973,3221.469727,2,3,3,2,1,4,4,3,3,2,2,1,1,3,3,2,50.33,
28.93,29,4,2,79.85,216.12,11.17,40.09852219,0.721263766,29.3295536,38.37296677,55.5353775,129.0713654,59.41342545,17.84511375,42.54154968,52.96512604,522.0026855,3095.887451,2,3,3,2,1,4,3,3,3,2,2,1,1,4,2,2,52.33,
30.9,29,4,2,79.85,127.9,11.78,42.50637817,0.719637215,31.26475716,38.74694061,55.23926926,114.6699295,65.36856079,25.33576393,46.668293,53.09236908,547.1802368,3033.103271,2,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,49.67,
25.7,29,4,2,79.85,174.84,10.49,39.76982117,0.718462527,30.57689095,37.93117905,52.33171844,119.820549,64.41722107,21.92503929,44.08533859,47.53786469,514.6668701,3231.719482,2,3,3,2,1,4,4,3,3,2,2,1,1,3,2,2,51.33,
31.22,29,4,2,79.85,205.37,10.6,42.57244492,0.724803925,28.54320335,38.15606308,51.49915314,126.9569778,61.78919983,28.02894974,42.6223793,49.72056961,524.1741333,2949.670898,2,3,3,2,1,4,3,3,3,2,2,1,1,3,2,2,54,
22.75,29,4,2,79.85,146.04,11.67,40.00449753,0.71947974,31.38646889,38.21904755,54.02996063,113.5721817,61.82808685,35.24771118,38.88790512,49.82402039,528.572937,3058.659424,1,3,3,2,1,4,4,3,3,2,2,1,1,3,2,2,54.67,
27.78,29,4,2,79.85,192.23,10.01,39.85946274,0.720153451,30.87448692,38.16483307,52.8277092,117.0629654,74.11112976,6.089795589,42.61066055,51.00217438,539.7121582,3230.647461,2,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,49.67,
23.21,29,4,2,79.85,191.46,11.18,40.4235878,0.725036263,30.40887642,38.48746109,51.70438004,110.507225,50.93148422,20.479496,49.63975906,46.73434067,506.2006836,3109.467041,1,3,3,2,1,4,4,3,3,2,2,1,1,3,2,2,54.67,
30.23,29,4,2,79.85,260.82,10.29,41.69123077,0.721674144,30.46534538,38.57224274,54.22837448,110.715889,57.59244537,20.86003876,45.49471283,49.65413284,540.4911499,3050.854492,2,3,3,2,1,4,4,3,3,2,2,1,1,3,2,2,51.33,
38.61,29,4,2,79.85,197.72,10.74,49.1898613,0.729280472,30.48692703,37.86363983,51.89797974,116.7295837,72.74705505,40.65537262,44.42331696,52.64199829,569.8168945,3318.397461,3,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,46.33,
43.71,29,4,2,79.85,243.91,11.49,54.74436188,0.729060709,29.62569809,36.93193054,51.55192566,132.4672546,72.4078598,43.83230591,38.67461777,53.53562927,531.4500732,3191.126953,3,3,3,2,1,4,3,3,3,2,2,1,1,4,2,2,49,
26.48,29,4,2,79.85,103.24,9.56,40.15299606,0.718318641,32.15702438,37.36584854,49.42694092,123.5903854,56.83607864,30.69702721,50.3175621,50.9228363,545.425415,3062.045166,2,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,49.67,
25.64,29,4,2,79.85,145.44,10.55,40.42028809,0.721897244,30.2870903,38.42613983,50.90090942,99.08241272,51.56348419,21.00704575,50.79870605,50.15533829,558.3060913,2986.38208,2,3,3,2,1,4,4,3,3,1,2,1,1,4,2,2,51,
32.11,29,4,2,79.85,152.37,10.81,42.65757751,0.728166282,29.75363922,39.2876091,52.93624115,118.9982452,67.85774231,31.96648598,42.0147171,48.96868515,525.3366089,3182.165771,2,3,3,2,1,4,3,3,3,2,2,1,1,3,2,2,54,
32.48,29,4,2,79.85,265.46,11.52,44.59683609,0.712420344,31.33416748,37.69639587,53.98257828,119.1401901,65.99372864,25.74746895,44.20025253,53.33569336,519.4644775,3118.768555,2,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,49.67,
28.67,29,4,2,79.85,148.22,10.47,40.00090027,0.729384899,31.61073685,37.93337631,53.88521576,100.9639206,61.59471893,22.85868263,42.97735214,50.05527878,537.4348755,3100.07959,2,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,49.67,
